win,uri,r_box,xp,tim,sp
0,1733330,4,-0.142593929,0.339611383,1.252762968
0,1733330,1,0.076781346,0.893540755,1.791759469
0,1733330,2,1.80984602,-0.805516251,2.197224577
1,1733334,3,-0.697950843,0.982668528,1.098612289
0,1733334,1,-0.857786914,-0.293579375,1.386294361
0,1733334,4,-0.889754128,-1.833234352,2.014903021
0,1733334,2,0.77254101,0.393790897,1.945910149
0,1733334,5,1.53975415,0.649802773,2.197224577
0,1733334,6,0.133196726,0.100551529,1.252762968
1,1733338,6,-1.08602745,-0.828955578,1.011600912
0,1733338,4,0.103880887,0.982952849,1.178654996
0,1733338,3,0.727166206,-0.954396312,2.48490665
0,1733338,2,0.160543188,0.908675034,2.197224577
